volgnummer,filename,side,main_document,reason,series_first,released_path,original_path,folder,exif_orientation,exif_name,rotation_applied,width,height,archief,fonds,signatuur,jaar,maand,dag,extra_info,inverted,grayscale
9,9m.jpg,verso,0,verso,,images/pages-verso/9m.png,images/archive-original/1260-1269/9m.jpg,1260-1269,6,90-cw,1,2024,1436,C.O.O. Brugge,Magdalenahospitaal,,1269,11,01,,0,0
9,9o.jpg,recto,1,recto,,images/pages-recto/9o.png,images/archive-original/1260-1269/9o.jpg,1260-1269,6,90-cw,1,2024,1436,C.O.O. Brugge,Magdalenahospitaal,,1269,11,01,,0,0
100,100m.jpg,verso,0,verso,,images/pages-verso/100m.png,images/archive-original/1270-1279/100m.jpg,1270-1279,,missing,0,1436,2024,RA Brugge,cart. O.L.Vrouwkerk,,1273,12,12,kopie ± 1300,0,0
100,100o.jpg,recto,1,recto,,images/pages-recto/100o.png,images/archive-original/1270-1279/100o.jpg,1270-1279,,missing,0,1436,2024,RA Brugge,cart. O.L.Vrouwkerk,,1273,12,12,kopie ± 1300,0,0
101,101m.jpg,verso,0,verso,,images/pages-verso/101m.png,images/archive-original/1270-1279/101m.jpg,1270-1279,6,90-cw,1,2024,1436,C.O.O. Brugge,Dis Sint-Gillis,,1273,12,15,,0,0
101,101o.jpg,recto,1,recto,,images/pages-recto/101o.png,images/archive-original/1270-1279/101o.jpg,1270-1279,6,90-cw,1,2024,1436,C.O.O. Brugge,Dis Sint-Gillis,,1273,12,15,,0,0
102,102m.jpg,verso,0,verso,,images/pages-verso/102m.png,images/archive-original/1270-1279/102m.jpg,1270-1279,6,90-cw,1,2024,1436,Potterie Brugge,,,1273,12,xx,,0,0
102,102o.jpg,recto,1,recto,,images/pages-recto/102o.png,images/archive-original/1270-1279/102o.jpg,1270-1279,6,90-cw,1,2024,1436,Potterie Brugge,,,1273,12,xx,,0,0
103,103m.jpg,verso,0,verso,,images/pages-verso/103m.png,images/archive-original/1270-1279/103m.jpg,1270-1279,6,90-cw,1,2024,1436,SA Gent,Groot Begijnhof,,127x,xx,xx,,0,0
103,103o.jpg,recto,1,recto,,images/pages-recto/103o.png,images/archive-original/1270-1279/103o.jpg,1270-1279,6,90-cw,1,2024,1436,SA Gent,Groot Begijnhof,,127x,xx,xx,,0,0
104,104m.jpg,verso,0,verso,,images/pages-verso/104m.png,images/archive-original/1270-1279/104m.jpg,1270-1279,6,90-cw,1,2024,1436,SA Gent,Groot Begijnhof,,127x,xx,xx,,0,0
104,104o.jpg,recto,1,recto,,images/pages-recto/104o.png,images/archive-original/1270-1279/104o.jpg,1270-1279,6,90-cw,1,2024,1436,SA Gent,Groot Begijnhof,,127x,xx,xx,,0,0
105,105m.jpg,verso,0,verso,,images/pages-verso/105m.png,images/archive-original/1270-1279/105m.jpg,1270-1279,6,90-cw,1,2024,1436,Bisdom Brugge,Urbanisten,,1274,01,13,,0,0
